date,username,tweet
5/10/2022 15:23,kissingxiaoo,"@kazuiry Ah iya ak stuju sih… emg title nya agak… idk kayak terlalu make fun of lgbt gk si?? 😭😭😭 ak belakangan ini udh ngk nonton podcast ny lgi krn lama2 kayak bkn podcast, tp julid :’3 tbvh"
5/10/2022 15:22,PrinceJanvierX,@FaishalIshal5 @LukeSusilo @Ucokkkkkkk5 @waltzwq_ ya whatever. saya doakan life will treat you well dan smeoga keturunan anda bebas LGBT ya. ngak kebayang kalau anak LGBT harus deal dengan anda yg blm bisa at least menghargai perbedaan. saya harap anda akan dapat kesempatan untuk bisa lebih belajar dlm menghargai orang lain.
5/10/2022 15:22,AbdiDal88007234,"@ReplikaHebat @ekowboy2 Tinggalkan youtuber yg kayak gini, dia untung dapat adsense, anak bangsa rugi nonton lgbt"
5/10/2022 15:22,histografer,@bachrum_achmadi Ahli-ahli psikologi di bawah APA sejak 1973 sudah ngomong LGBT bukab penyakit? Ada counter empirisnya nggak kira2?
5/10/2022 15:22,SyahidMhd,@geloraco LGBT itu lebih hina dari binatang...binatang aja gk ada yg LGBT... Coba liat tuh binatang ..gk mau juga kalau jantan sm jantan... Ataupun betina ama betina...
5/10/2022 15:22,Haqimaduri,"Ad org munafik dgn bngganya mmpromosikan LGBT, yg ntah muslim mna yg blum tahu, mrupakan slah satu dosa yg dilknat yg dlu Dlaknat lsng oleh Allah SWT. Skrg followernya brkrng drastis, si munafik mnta maaf dan hapus postingan videonya. Kli Tuhannya bukan Allah SWT tp netizen.."
5/10/2022 15:22,Ade_Surahman5,Mengundang. Mengajak Ngobrol. Haha... Hihi...  Itu sama Aja mendukung keberadaan LGBT.
5/10/2022 15:22,fatiwhhb,emang bener yang lagi rame bela-belain lgbt ya anak muda yang terpana dengan asmara cinta membara tanpa melihat realita sesudahnya
5/10/2022 15:22,inilahdotcom,Ramai tagar #UnsubscribePodcastCorbuzier Gus Miftah pun beri nasihat serta tanggapan mengenai podcast Deddy Corbuzier tentang LGBT.  https://t.co/QK6HCq3xz7
5/10/2022 15:22,ridwan_har,@ketahananapi16 @StopPlandemit Sejauh ini semua agama resmi yang diakui di NKRI memang menolak keras LGBT... kecuali para pengikutnya yang mulai mengikuti pemikiran liberal... hampir disetiap agama mulai disusupi.
5/10/2022 15:22,jabarekspres,"Kembali Viral, Ceramah Ustaz Felix Siau Tentang LGBT: Seanjing Anjingnya Anjing Jantan, Ketemu Pasti Berantem Bukan Masuk Kamar!  https://t.co/bJ5FFWc7nS"
